mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_alpha,param_min_child_weight,param_max_depth,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.049298429489136,0.5322877099113876,0.02491626739501953,0.006443110205900504,0.8,100,1,5,0.8,0.8,"{'subsample': 0.8, 'reg_alpha': 100, 'min_child_weight': 1, 'max_depth': 5, 'gamma': 0.8, 'colsample_bytree': 0.8}",0.7093023255813953,0.7093023255813953,0.7076023391812865,0.711764705882353,0.711764705882353,0.7099415204678362,0.0016064134432980175,8,0.7101024890190337,0.7101024890190337,0.7105263157894737,0.7094890510948906,0.7094890510948906,0.7099418792034644,0.00040081510465791813
9.77025647163391,0.32292288195430857,0.04086246490478516,0.012111736797315645,0.8,1e-05,4,5,0,0.6,"{'subsample': 0.8, 'reg_alpha': 1e-05, 'min_child_weight': 4, 'max_depth': 5, 'gamma': 0, 'colsample_bytree': 0.6}",0.9186046511627907,0.9302325581395349,0.9298245614035088,0.9176470588235294,0.9058823529411765,0.92046783625731,0.009014987138920882,4,0.9985358711566618,1.0,1.0,0.9985401459854014,1.0,0.9994152034284127,0.0007162278775826722
8.994066333770752,0.15370917034239992,0.033444452285766604,0.012857607348001104,1.0,1e-05,4,4,0,0.6,"{'subsample': 1.0, 'reg_alpha': 1e-05, 'min_child_weight': 4, 'max_depth': 4, 'gamma': 0, 'colsample_bytree': 0.6}",0.9186046511627907,0.9244186046511627,0.9415204678362573,0.9294117647058824,0.9176470588235294,0.9263157894736842,0.008704578464243476,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12.539367628097533,0.33784084885007476,0.03419260978698731,0.010939720151423228,0.8,1e-05,2,4,0.2,0.8,"{'subsample': 0.8, 'reg_alpha': 1e-05, 'min_child_weight': 2, 'max_depth': 4, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.9244186046511627,0.9244186046511627,0.9298245614035088,0.9176470588235294,0.9117647058823528,0.9216374269005848,0.006250121196685759,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5.972062444686889,0.42616948048355036,0.036084318161010744,0.008060962869032249,0.8,0.01,3,2,0.8,0.6,"{'subsample': 0.8, 'reg_alpha': 0.01, 'min_child_weight': 3, 'max_depth': 2, 'gamma': 0.8, 'colsample_bytree': 0.6}",0.9244186046511627,0.9127906976744186,0.935672514619883,0.9117647058823528,0.9235294117647059,0.9216374269005848,0.008762938621809074,2,0.986822840409956,0.9853587115666179,0.9839181286549707,0.9883211678832117,0.9824817518248176,0.9853805200679149,0.002062504260613617
3.6674126625061034,0.03407287914651246,0.03411931991577148,0.004500448189052635,0.6,0.01,1,1,0.4,0.6,"{'subsample': 0.6, 'reg_alpha': 0.01, 'min_child_weight': 1, 'max_depth': 1, 'gamma': 0.4, 'colsample_bytree': 0.6}",0.9069767441860465,0.9186046511627907,0.9239766081871345,0.9176470588235294,0.9176470588235294,0.9169590643274854,0.0055342622877032795,7,0.9956076134699854,0.9956076134699854,0.9912280701754386,0.9956204379562044,0.9941605839416059,0.994444863802644,0.0017037913280531446
3.774804639816284,0.08096754666825405,0.031102514266967772,0.007347388415624007,0.6,100,2,5,0.4,0.6,"{'subsample': 0.6, 'reg_alpha': 100, 'min_child_weight': 2, 'max_depth': 5, 'gamma': 0.4, 'colsample_bytree': 0.6}",0.7093023255813953,0.7093023255813953,0.7076023391812865,0.711764705882353,0.711764705882353,0.7099415204678362,0.0016064134432980175,8,0.7101024890190337,0.7101024890190337,0.7105263157894737,0.7094890510948906,0.7094890510948906,0.7099418792034644,0.00040081510465791813
13.031084966659545,0.5305093577282582,0.03339109420776367,0.012827612671684911,0.6,0.1,2,5,0.8,0.6,"{'subsample': 0.6, 'reg_alpha': 0.1, 'min_child_weight': 2, 'max_depth': 5, 'gamma': 0.8, 'colsample_bytree': 0.6}",0.9244186046511627,0.9186046511627907,0.9298245614035088,0.9235294117647059,0.9058823529411765,0.92046783625731,0.00809383216986244,4,0.9897510980966325,0.9941434846266471,0.9868421052631579,0.9883211678832117,0.9883211678832117,0.9894758047505722,0.0025086158507369345
3.9146382808685303,0.10505118578706213,0.041258716583251955,0.012846927731478499,0.6,1,1,1,0.6,0.6,"{'subsample': 0.6, 'reg_alpha': 1, 'min_child_weight': 1, 'max_depth': 1, 'gamma': 0.6, 'colsample_bytree': 0.6}",0.9186046511627907,0.9069767441860465,0.9415204678362573,0.9235294117647059,0.9117647058823528,0.92046783625731,0.011953233563943039,4,0.9707174231332357,0.9575402635431918,0.9649122807017544,0.9664233576642337,0.9708029197080292,0.9660792489500889,0.004862514219240983
4.052677202224731,0.3734861834247845,0.019291782379150392,0.008123530005355728,1.0,100,2,5,0,1.0,"{'subsample': 1.0, 'reg_alpha': 100, 'min_child_weight': 2, 'max_depth': 5, 'gamma': 0, 'colsample_bytree': 1.0}",0.7093023255813953,0.7093023255813953,0.7076023391812865,0.711764705882353,0.711764705882353,0.7099415204678362,0.0016064134432980175,8,0.7101024890190337,0.7101024890190337,0.7105263157894737,0.7094890510948906,0.7094890510948906,0.7099418792034644,0.00040081510465791813
